Item,Cost,Source
Raspberry Pi 5 (8GB RAM),80.00,To Buy
High-Res USB/CSI Cameras (top & bottom),36.00,To Buy
High-brightness LED Lighting & Diffuser,14.00,To Buy
WS2812B Addressable LED Strip,12.00,To Buy
ESP32 Microcontroller (additional),6.00,To Buy
Stepper Motor Drivers (TMC2209/DRV8825),15.00,To Buy
VL53L1X ToF Distance Sensors (~1m),20.00,To Buy
Cabling power supplies & jumpers,25.00,To Buy
Precision High-Torque Stepper Motors (Lift),36.00,To Buy
Mini Servo Motor,5.00,To Buy
Small Stepper Motor (Cart),10.00,To Buy
Small Auxiliary Motor,8.00,To Buy
Basic Train Motor & Servo (Wagons),10.00,To Buy
2020 Aluminum Extrusion Profile - 120 cm,18.00,To Buy
2020 Aluminum Extrusion Profile - 100 cm,14.00,To Buy
2020 Aluminum Extrusion Profile - 50 cm,8.00,To Buy
3D Printer Filament (10 rolls PLA/PETG),100.00,To Buy
iPad (Touchscreen / Dashboard),0.00,Owned
ESP32 Microcontroller,0.00,Owned
LEGO Hub,0.00,Owned
LEGO Motors (C-channel & carousel),0.00,Owned
OpenCV Camera (Low Resolution),0.00,Owned
Total to Buy,432.00,---
