Item,Cost,Source
Raspberry Pi 4 (4GB RAM),115.00,Kiwi Electronics / Alternate
High-Res USB/CSI Cameras (top & bottom),36.00,Amazon.nl (2x á €18)
High-brightness LED Lighting & Diffuser,12.00,Amazon.nl
ESP32 Microcontroller (additional),6.00,Kiwi Electronics
Stepper Motor Drivers (TMC2209/DRV8825),15.00,3DJake / Opencircuit
VL53L1X ToF Distance Sensors (~1m),12.00,Ali / Goedkope alternatieven
Cabling power supplies & jumpers,25.00,Kiwi Electronics / Amazon
Precision High-Torque Stepper Motors (Lift),36.00,3DJake / RepRapWorld
Mini Servo Motor,5.00,Amazon.nl
Small Stepper Motor (Cart),6.00,3DJake (standaard kleine NEMA)
Small Auxiliary Motor,8.00,3DJake
Basic Train Motor & Servo (Wagons),10.00,Bol.com / Marktplaats
2020 Aluminum Extrusion Profile - 120 cm,18.00,Alux / Amazon
2020 Aluminum Extrusion Profile - 100 cm,14.00,Alux / Amazon
2020 Aluminum Extrusion Profile - 50 cm,8.00,Alux / Amazon
3D Printer Filament (10 rolls PLA/PETG),50.00,Bambu Lab (50% korting)
iPad (Touchscreen / Dashboard),0.00,Owned
ESP32 Microcontroller,0.00,Owned
LEGO Hub,0.00,Owned
LEGO Motors (C-channel & carousel),0.00,Owned
OpenCV Camera (Low Resolution),0.00,Owned
Total to Buy,376.00,---
